Date : 2026-03-06 11:24:04
Directory : z:\8_code\ai-job-hunting
Total : 200 files,  60411 codes, 400 comments, 6170 blanks, all 66981 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\ai-config\components\ApiKeyManager.vue                                | vue                |        443 |          0 |         54 |        497 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\ai-config\components\DebugConsole.vue                                 | vue                |        223 |          0 |         22 |        245 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\ai-config\components\PromptPresetManager.vue                          | vue                |        249 |          0 |         25 |        274 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\ai-delivery-judge\components\AiDeliveryJudge.vue                      | vue                |          6 |          0 |          2 |          8 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\ai-delivery-judge\components\AiDeliveryJudgeSettingsPanel.vue         | vue                |        284 |          0 |         40 |        324 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\conversation-cleaner\components\ConversationCleaner.vue               | vue                |        210 |          0 |         21 |        231 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\conversation-cleaner\services\conversation-cleaner.ts                 | TypeScript         |        464 |         27 |         64 |        555 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\job-assistant\components\AiJob.vue                                    | vue                |        713 |          0 |         11 |        724 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\job-assistant\components\BossMessage.vue                              | vue                |        328 |          0 |         11 |        339 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\memory-session\components\MemorySession.vue                           | vue                |        301 |          0 |         25 |        326 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\panel\Panel.vue                                                       | vue                |        914 |          0 |         95 |      1,009 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\preference\components\Preference.vue                                  | vue                |        360 |          0 |         37 |        397 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\features\run-record\components\RunRecord.vue                                   | vue                |        447 |          0 |         16 |        463 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\errors\index.ts                                                         | TypeScript         |         45 |          1 |         15 |         61 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\types\axios-request-config.d.ts                                         | TypeScript         |          8 |          0 |          2 |         10 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\types\event-source-polyfill.d.ts                                        | TypeScript         |          9 |          1 |          2 |         12 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\ai-delivery.test.ts                                               | TypeScript         |         24 |          0 |          9 |         33 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\ai-delivery.ts                                                    | TypeScript         |        823 |          1 |         95 |        919 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\fetch.ts                                                          | TypeScript         |         54 |          1 |          7 |         62 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\logger.ts                                                         | TypeScript         |         67 |          1 |         16 |         84 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\message-cache.ts                                                  | TypeScript         |         52 |          1 |         12 |         65 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\preference.ts                                                     | TypeScript         |         18 |          1 |          4 |         23 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\resume.ts                                                         | TypeScript         |        168 |          1 |         30 |        199 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\scroll.ts                                                         | TypeScript         |         45 |          1 |          2 |         48 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\tampermonkey.ts                                                   | TypeScript         |         85 |          1 |         12 |         98 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\shared\utils\tools.ts                                                          | TypeScript         |        817 |         13 |         90 |        920 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\state\login.ts                                                                 | TypeScript         |         20 |          1 |          5 |         26 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\state\push-result.ts                                                           | TypeScript         |         43 |          1 |          8 |         52 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\src\state\user.ts                                                                  | TypeScript         |         42 |          1 |          7 |         50 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\tsconfig.json                                                                      | JSON with Comments |         22 |          0 |          1 |         23 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\tsconfig.node.json                                                                 | JSON               |         10 |          0 |          1 |         11 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\vite.config.ts                                                                     | TypeScript         |         87 |          0 |         11 |         98 |
| z:\8_code\ai-job-hunting\.worktrees\docs-fix-terminology\vitest.config.ts                                                                   | TypeScript         |         13 |          0 |          2 |         15 |
| z:\8_code\ai-job-hunting\AGENTS.md                                                                                                          | Markdown           |         35 |          0 |         13 |         48 |
| z:\8_code\ai-job-hunting\README.md                                                                                                          | Markdown           |         64 |          0 |         20 |         84 |
| z:\8_code\ai-job-hunting\docs\README.md                                                                                                     | Markdown           |         11 |          0 |          8 |         19 |
| z:\8_code\ai-job-hunting\docs\ai-delivery-regression-checklist.md                                                                           | Markdown           |         70 |          0 |         32 |        102 |
| z:\8_code\ai-job-hunting\docs\architecture-review.md                                                                                        | Markdown           |        144 |          0 |         49 |        193 |
| z:\8_code\ai-job-hunting\docs\plans\README.md                                                                                               | Markdown           |          7 |          0 |          6 |         13 |
| z:\8_code\ai-job-hunting\docs\security-ban-risk-analysis.md                                                                                 | Markdown           |         45 |          0 |         10 |         55 |
| z:\8_code\ai-job-hunting\docs\terminology.md                                                                                                | Markdown           |        200 |          0 |         71 |        271 |
| z:\8_code\ai-job-hunting\env.d.ts                                                                                                           | TypeScript         |          5 |          2 |          2 |          9 |
| z:\8_code\ai-job-hunting\package-lock.json                                                                                                  | JSON               |      4,037 |          0 |          1 |      4,038 |
| z:\8_code\ai-job-hunting\package.json                                                                                                       | JSON               |         31 |          0 |          1 |         32 |
| z:\8_code\ai-job-hunting\preview.html                                                                                                       | HTML               |         11 |          0 |          1 |         12 |
| z:\8_code\ai-job-hunting\src\app\App.vue                                                                                                    | vue                |          8 |          0 |          3 |         11 |
| z:\8_code\ai-job-hunting\src\app\main.preview.ts                                                                                            | TypeScript         |         63 |          0 |         12 |         75 |
| z:\8_code\ai-job-hunting\src\app\main.ts                                                                                                    | TypeScript         |         56 |          1 |         13 |         70 |
| z:\8_code\ai-job-hunting\src\core\AGENTS.md                                                                                                 | Markdown           |         19 |          0 |          9 |         28 |
| z:\8_code\ai-job-hunting\src\core\ai\ai-power.test.ts                                                                                       | TypeScript         |         59 |          0 |         12 |         71 |
| z:\8_code\ai-job-hunting\src\core\ai\ai-power.ts                                                                                            | TypeScript         |         81 |          2 |         10 |         93 |
| z:\8_code\ai-job-hunting\src\core\ai\direct-ai-client.ts                                                                                    | TypeScript         |        332 |         38 |         44 |        414 |
| z:\8_code\ai-job-hunting\src\core\auth\auth-session.ts                                                                                      | TypeScript         |         97 |          2 |         19 |        118 |
| z:\8_code\ai-job-hunting\src\core\auth\auth.ts                                                                                              | TypeScript         |        273 |          1 |         34 |        308 |
| z:\8_code\ai-job-hunting\src\core\engine\push-engine.ts                                                                                     | TypeScript         |        530 |          2 |         85 |        617 |
| z:\8_code\ai-job-hunting\src\core\http\request-throttle.ts                                                                                  | TypeScript         |         71 |         17 |         17 |        105 |
| z:\8_code\ai-job-hunting\src\core\http\request.ts                                                                                           | TypeScript         |        157 |          1 |         32 |        190 |
| z:\8_code\ai-job-hunting\src\core\platform\boss-platform.ts                                                                                 | TypeScript         |      1,504 |          1 |        261 |      1,766 |
| z:\8_code\ai-job-hunting\src\core\platform\platform-factory.ts                                                                              | TypeScript         |         23 |          1 |          4 |         28 |
| z:\8_code\ai-job-hunting\src\core\protocol\message.ts                                                                                       | TypeScript         |        168 |          1 |         23 |        192 |
| z:\8_code\ai-job-hunting\src\core\protocol\types.ts                                                                                         | TypeScript         |         79 |          1 |         15 |         95 |
| z:\8_code\ai-job-hunting\src\features\AGENTS.md                                                                                             | Markdown           |         17 |          0 |          8 |         25 |
| z:\8_code\ai-job-hunting\src\features\account\components\Account.vue                                                                        | vue                |        904 |          0 |        107 |      1,011 |
| z:\8_code\ai-job-hunting\src\features\ai-config\components\AiConfig.vue                                                                     | vue                |      1,017 |          0 |        128 |      1,145 |
| z:\8_code\ai-job-hunting\src\features\ai-config\components\ApiKeyManager.vue                                                                | vue                |        443 |          0 |         54 |        497 |
| z:\8_code\ai-job-hunting\src\features\ai-config\components\DebugConsole.vue                                                                 | vue                |        223 |          0 |         22 |        245 |
| z:\8_code\ai-job-hunting\src\features\ai-config\components\PromptPresetManager.vue                                                          | vue                |        249 |          0 |         25 |        274 |
| z:\8_code\ai-job-hunting\src\features\ai-delivery-judge\components\AiDeliveryJudge.vue                                                      | vue                |         34 |          0 |          5 |         39 |
| z:\8_code\ai-job-hunting\src\features\ai-delivery-judge\components\AiDeliveryJudgeSettingsPanel.vue                                         | vue                |        509 |          0 |         69 |        578 |
| z:\8_code\ai-job-hunting\src\features\conversation-cleaner\components\ConversationCleaner.vue                                               | vue                |        210 |          0 |         21 |        231 |
| z:\8_code\ai-job-hunting\src\features\conversation-cleaner\services\conversation-cleaner.test.ts                                            | TypeScript         |        228 |          0 |         28 |        256 |
| z:\8_code\ai-job-hunting\src\features\conversation-cleaner\services\conversation-cleaner.ts                                                 | TypeScript         |        495 |         27 |         66 |        588 |
| z:\8_code\ai-job-hunting\src\features\job-assistant\components\AiJob.vue                                                                    | vue                |        763 |          0 |        102 |        865 |
| z:\8_code\ai-job-hunting\src\features\memory-session\components\MemorySession.vue                                                           | vue                |        487 |          0 |         77 |        564 |
| z:\8_code\ai-job-hunting\src\features\panel\Panel.vue                                                                                       | vue                |        937 |          0 |        101 |      1,038 |
| z:\8_code\ai-job-hunting\src\features\preference\components\Preference.vue                                                                  | vue                |        515 |          0 |         71 |        586 |
| z:\8_code\ai-job-hunting\src\features\run-record\components\RunRecord.vue                                                                   | vue                |        363 |          0 |         67 |        430 |
| z:\8_code\ai-job-hunting\src\shared\errors\index.ts                                                                                         | TypeScript         |         45 |          1 |         15 |         61 |
| z:\8_code\ai-job-hunting\src\shared\types\axios-request-config.d.ts                                                                         | TypeScript         |          8 |          0 |          2 |         10 |
| z:\8_code\ai-job-hunting\src\shared\types\event-source-polyfill.d.ts                                                                        | TypeScript         |          9 |          1 |          2 |         12 |
| z:\8_code\ai-job-hunting\src\shared\utils\ai-delivery.test.ts                                                                               | TypeScript         |         24 |          0 |          9 |         33 |
| z:\8_code\ai-job-hunting\src\shared\utils\ai-delivery.ts                                                                                    | TypeScript         |        830 |          1 |         96 |        927 |
| z:\8_code\ai-job-hunting\src\shared\utils\fetch.ts                                                                                          | TypeScript         |         54 |          1 |          7 |         62 |
| z:\8_code\ai-job-hunting\src\shared\utils\logger.ts                                                                                         | TypeScript         |         67 |          1 |         16 |         84 |
| z:\8_code\ai-job-hunting\src\shared\utils\preference.ts                                                                                     | TypeScript         |         80 |          1 |         12 |         93 |
| z:\8_code\ai-job-hunting\src\shared\utils\resume.ts                                                                                         | TypeScript         |        168 |          1 |         30 |        199 |
| z:\8_code\ai-job-hunting\src\shared\utils\scroll.ts                                                                                         | TypeScript         |         45 |          1 |          2 |         48 |
| z:\8_code\ai-job-hunting\src\shared\utils\tampermonkey.ts                                                                                   | TypeScript         |         85 |          1 |         12 |         98 |
| z:\8_code\ai-job-hunting\src\shared\utils\tools.ts                                                                                          | TypeScript         |        824 |         13 |         90 |        927 |
| z:\8_code\ai-job-hunting\src\state\login.ts                                                                                                 | TypeScript         |         21 |          2 |          6 |         29 |
| z:\8_code\ai-job-hunting\src\state\push-result.ts                                                                                           | TypeScript         |         44 |          2 |          9 |         55 |
| z:\8_code\ai-job-hunting\src\state\user.ts                                                                                                  | TypeScript         |         47 |          2 |          8 |         57 |
| z:\8_code\ai-job-hunting\src\styles\ui-migration.css                                                                                        | CSS                |         88 |          1 |         14 |        103 |
| z:\8_code\ai-job-hunting\temp\README.md                                                                                                     | Markdown           |         55 |          0 |         23 |         78 |
| z:\8_code\ai-job-hunting\temp\app.80fffb17.css                                                                                              | CSS                |          1 |          0 |          0 |          1 |
| z:\8_code\ai-job-hunting\temp\boss-ui.80fffb17.css                                                                                          | CSS                |          2 |          0 |          0 |          2 |
| z:\8_code\ai-job-hunting\temp\http-server.log                                                                                               | Log                |         97 |          0 |          3 |        100 |
| z:\8_code\ai-job-hunting\temp\zhipin-rendered-noscript.html                                                                                 | HTML               |      3,591 |          0 |        341 |      3,932 |
| z:\8_code\ai-job-hunting\temp\zhipin-rendered.html                                                                                          | HTML               |      3,673 |          0 |        329 |      4,002 |
| z:\8_code\ai-job-hunting\temp\zhipin-static-noscript.html                                                                                   | HTML               |         28 |          4 |         32 |         64 |
| z:\8_code\ai-job-hunting\temp\zhipin-static.html                                                                                            | HTML               |         84 |          4 |         20 |        108 |
| z:\8_code\ai-job-hunting\temp\zp-boss.80fffb17.css                                                                                          | CSS                |          1 |          0 |          0 |          1 |
| z:\8_code\ai-job-hunting\tsconfig.json                                                                                                      | JSON with Comments |         22 |          0 |          1 |         23 |
| z:\8_code\ai-job-hunting\tsconfig.node.json                                                                                                 | JSON               |         10 |          0 |          1 |         11 |
| z:\8_code\ai-job-hunting\vite.config.ts                                                                                                     | TypeScript         |         87 |          0 |         11 |         98 |
| z:\8_code\ai-job-hunting\vite.preview.config.ts                                                                                             | TypeScript         |         26 |          0 |          7 |         33 |
| z:\8_code\ai-job-hunting\vitest.config.ts                                                                                                   | TypeScript         |         13 |          0 |          2 |         15 |
| Total                                                                                                                                       |                    |     60,411 |        400 |      6,170 |     66,981 |
+---------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
